Provincia;Isla;Municipio;Nombre Playa o ZBM;ID DGE;Clasificación;Grado de Protección;Afluencia maxima anual;Riesgo;Playa o ZBM;ID MAPAMA;Nombre MAPAMA;ID Pilotaje Litoral;Nombre Pilotaje Litoral;Bandera azul;Acceso PMR;Ducha adaptada;Aseo adaptado;Baño asistido;Sombra PMR;Aparcamientos;Aseo;Lavapies;Duchas;Alquiler de sombrillas;Alquiler de hamacas;Alquiler nautico;Area Infantil;Area Deportiva;Longitud (m);Anchura (m);Composición;Color;Condiciones de baño;Condiciones de entorno;Condiciones de acceso;Carga poblacional;Latitud (º);Longitud (º);PSS Registrado DGSE;PSS Nº Registro;PSS Fecha Registro;Fecha de última actualización
Santa Cruz de Tenerife;Tenerife;Candelaria;Playa de Samarines;762187100;Uso Prohibido;Bajo;Baja;Bajo;Playa;;;40603;PLAYA DE SAMARINES;No;No;null;null;null;null;No;No;No;No;No;No;No;No;No;72;35;Callaos / Arena;Oscura;Oleaje fuerte;Semiurbana;;entre 20.000 y 100.000;"28°20'47.00724417""N";"16°22'08.69184805""W";Si;0077-762187100;28/09/2020;19/08/2024
Santa Cruz de Tenerife;Tenerife;Candelaria;Playa de la Viuda;762187200;Peligrosa;Bajo;Baja;Bajo;Playa;659;La Viuda;40519;PLAYA DE LA VIUDA ;No;No;null;null;null;null;Si;No;No;No;No;No;No;No;Si;250;20;Grava / Arena;Oscura;Aguas tranquilas;Semiurbana;A pie fácil / Coche;entre 20.000 y 100.000;"28°20'23.98664078""N";"16°21'59.85451423""W";Si;0076-762187200;28/09/2020;07/12/2023
Santa Cruz de Tenerife;Tenerife;Candelaria;Charco de Graciliano;762187300;Libre;Bajo;Baja;Bajo;Playa;;;40608;CHARCO DEL MUSGO O DE GRACILIANO;No;No;null;null;null;null;No;No;No;No;No;No;No;No;No;68;12;Callaos / Grava / Arena;Oscura;;Urbana;;entre 20.000 y 100.000;"28°22'40.24082981""N";"16°21'38.08823615""W";Si;0083-762187300;28/09/2020;07/12/2023
Santa Cruz de Tenerife;Tenerife;Fasnia;Playa Callao de Herques;763190100;Peligrosa;Bajo;Baja;;Playa;;;40584;Playa Callao de Herques;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;231;18;Callaos;Oscura;Oleaje moderado / Ventosa;Aislada;A pie difícil;<5.000;"28°13'59.77261821""N";"16°24'27.18035350""W";No;;;17/12/2025
Santa Cruz de Tenerife;Tenerife;Fasnia;Playa de Topuerque;763190200;Peligrosa;Bajo;Baja;;Playa;;;40583;PLAYA DE TOPUERQUE;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;76;11;Callaos;Oscura;Oleaje moderado / Ventosa;Aislada;A pie difícil;<5.000;"28°13'56.21798337""N";"16°24'29.57630397""W";No;;;17/12/2025
Santa Cruz de Tenerife;Tenerife;Fasnia;40582 (Playa sin nombre);763190300;Peligrosa;Bajo;Baja;;Playa;;;40582;40582 (PLAYA SIN NOMBRE);No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;67;25;Callaos;Oscura;Oleaje moderado / Ventosa;Aislada;A pie difícil;<5.000;"28°13'48.73684264""N";"17°59'00,17""O";No;;;17/12/2025
Santa Cruz de Tenerife;Tenerife;Fasnia;Playa El Sobradito;763190400;Peligrosa;Bajo;Baja;;Playa;;;40581;PLAYA EL SOBRADITO;No;No;null;null;null;null;Si;No;No;No;No;No;No;No;No;19;16;Callaos;;;Urbana;;<5.000;"28°13'20.80384699""N";"16°24'41.24736099""W";No;;;07/12/2023
Santa Cruz de Tenerife;Tenerife;Fasnia;El Abrigo;763190500;Libre;Bajo;Baja;Bajo;Playa;669;El Abrigo;40516;PLAYA EL ABRIGO;No;No;null;null;null;null;Si;No;No;No;No;No;No;No;Si;230;40;Grava / Arena;Oscura;Oleaje moderado;Aislada;A pie fácil;<5.000;"28°13'16.99255231""N";"16°24'47.86923499""W";No;;;07/12/2023
Santa Cruz de Tenerife;Tenerife;Fasnia;Los Roques;763190600;Libre;Bajo;Baja;Bajo;Playa;668;Los Roques;40515;PLAYA DE LOS ROQUES;No;No;null;null;null;null;Si;No;No;Si;No;No;No;No;Si;70;14;Grava;;Oleaje moderado;Urbana;A pie fácil;<5.000;"28°13'11.49681066""N";"16°24'50.83925438""W";No;;;07/12/2023
Santa Cruz de Tenerife;Tenerife;Fasnia;Playa Zapata;763190700;Peligrosa;null;null;;Playa;;;40580;PLAYA ZAPATA;No;No;null;null;null;null;No;No;No;No;No;No;No;No;No;32;9;Callaos / Arena;;;Aislada;;<5.000;"28°12'55.07558722""N";"16°25'03.25707369""W";No;;;07/12/2023
